Image1_Path,Image1_Name,Image2_Path,Image2_Name,Reconstruction_Type,Winner,Labeler_Name,Notes,Created_At
"Trajectories/2025-10-04/B/HL20251004B_636.13C_214046.bmp","HL20251004B_636.13C_214046.bmp","Trajectories/2022-02-04/369_RR220204A_943C_2231.bmp","369_RR220204A_943C_2231.bmp","(1 x 1)","not_apply","AJ","","2026-04-03T21:59:44.214144"
"Trajectories/2025-10-04/B/HL20251004B_636.13C_214046.bmp","HL20251004B_636.13C_214046.bmp","Trajectories/2022-02-04/369_RR220204A_943C_2231.bmp","369_RR220204A_943C_2231.bmp","(√13 x √13)","tie","AJ","","2026-04-03T21:59:42.277302"
"Trajectories/2025-10-04/B/HL20251004B_636.13C_214046.bmp","HL20251004B_636.13C_214046.bmp","Trajectories/2022-02-04/369_RR220204A_943C_2231.bmp","369_RR220204A_943C_2231.bmp","c(6 x 2)","1","AJ","","2026-04-03T21:59:41.479791"
"Trajectories/2025-10-04/B/HL20251004B_636.13C_214046.bmp","HL20251004B_636.13C_214046.bmp","Trajectories/2022-02-04/369_RR220204A_943C_2231.bmp","369_RR220204A_943C_2231.bmp","HTR","not_apply","AJ","","2026-04-03T21:59:40.603879"
"Trajectories/2025-10-04/B/HL20251004B_636.13C_214046.bmp","HL20251004B_636.13C_214046.bmp","Trajectories/2022-02-04/369_RR220204A_943C_2231.bmp","369_RR220204A_943C_2231.bmp","Twinned(2 x 1)","2","AJ","","2026-04-03T21:59:39.585241"
"Trajectories/2025-10-05/HL20251005A_678.54C_155553.bmp","HL20251005A_678.54C_155553.bmp","Trajectories/2022-04-11/310_RR220411A_849C_1853.bmp","310_RR220411A_849C_1853.bmp","(√13 x √13)","2","AJ","","2026-04-03T21:58:35.250827"
"Trajectories/2025-10-05/HL20251005A_678.54C_155553.bmp","HL20251005A_678.54C_155553.bmp","Trajectories/2022-04-11/310_RR220411A_849C_1853.bmp","310_RR220411A_849C_1853.bmp","(1 x 1)","1","AJ","","2026-04-03T21:58:34.480711"
"Trajectories/2025-10-05/HL20251005A_678.54C_155553.bmp","HL20251005A_678.54C_155553.bmp","Trajectories/2022-04-11/310_RR220411A_849C_1853.bmp","310_RR220411A_849C_1853.bmp","Twinned(2 x 1)","not_apply","AJ","","2026-04-03T21:58:33.712625"
"Trajectories/2025-10-05/HL20251005A_678.54C_155553.bmp","HL20251005A_678.54C_155553.bmp","Trajectories/2022-04-11/310_RR220411A_849C_1853.bmp","310_RR220411A_849C_1853.bmp","c(6 x 2)","2","AJ","","2026-04-03T21:58:31.505144"
"Trajectories/2025-10-05/HL20251005A_678.54C_155553.bmp","HL20251005A_678.54C_155553.bmp","Trajectories/2022-04-11/310_RR220411A_849C_1853.bmp","310_RR220411A_849C_1853.bmp","HTR","not_apply","AJ","","2026-04-03T21:58:30.660292"
"Trajectories/2022-02-04/262_RR220204A_793C_1932.bmp","262_RR220204A_793C_1932.bmp","Trajectories/2025-10-04/A/HL20251004A_600.54C_123331.bmp","HL20251004A_600.54C_123331.bmp","c(6 x 2)","2","AJ","","2026-04-03T21:58:08.584463"
"Trajectories/2022-02-04/262_RR220204A_793C_1932.bmp","262_RR220204A_793C_1932.bmp","Trajectories/2025-10-04/A/HL20251004A_600.54C_123331.bmp","HL20251004A_600.54C_123331.bmp","HTR","not_apply","AJ","","2026-04-03T21:58:07.849160"
"Trajectories/2022-02-04/262_RR220204A_793C_1932.bmp","262_RR220204A_793C_1932.bmp","Trajectories/2025-10-04/A/HL20251004A_600.54C_123331.bmp","HL20251004A_600.54C_123331.bmp","(√13 x √13)","1","AJ","","2026-04-03T21:58:07.106471"
"Trajectories/2022-02-04/262_RR220204A_793C_1932.bmp","262_RR220204A_793C_1932.bmp","Trajectories/2025-10-04/A/HL20251004A_600.54C_123331.bmp","HL20251004A_600.54C_123331.bmp","(1 x 1)","2","AJ","","2026-04-03T21:58:04.855969"
"Trajectories/2022-02-04/262_RR220204A_793C_1932.bmp","262_RR220204A_793C_1932.bmp","Trajectories/2025-10-04/A/HL20251004A_600.54C_123331.bmp","HL20251004A_600.54C_123331.bmp","Twinned(2 x 1)","1","AJ","","2026-04-03T21:58:03.905876"
"Trajectories/2025-10-05/HL20251005A_957.49C_160444.bmp","HL20251005A_957.49C_160444.bmp","Trajectories/2025-10-05/HL20251005A_1015.13C_161744.bmp","HL20251005A_1015.13C_161744.bmp","HTR","not_apply","AJ","","2026-04-03T21:57:30.896030"
"Trajectories/2025-10-05/HL20251005A_957.49C_160444.bmp","HL20251005A_957.49C_160444.bmp","Trajectories/2025-10-05/HL20251005A_1015.13C_161744.bmp","HL20251005A_1015.13C_161744.bmp","c(6 x 2)","not_apply","AJ","","2026-04-03T21:57:30.107219"
"Trajectories/2025-10-05/HL20251005A_957.49C_160444.bmp","HL20251005A_957.49C_160444.bmp","Trajectories/2025-10-05/HL20251005A_1015.13C_161744.bmp","HL20251005A_1015.13C_161744.bmp","(√13 x √13)","2","AJ","","2026-04-03T21:57:28.147290"
"Trajectories/2025-10-05/HL20251005A_957.49C_160444.bmp","HL20251005A_957.49C_160444.bmp","Trajectories/2025-10-05/HL20251005A_1015.13C_161744.bmp","HL20251005A_1015.13C_161744.bmp","(1 x 1)","1","AJ","","2026-04-03T21:57:27.370358"
"Trajectories/2025-10-05/HL20251005A_957.49C_160444.bmp","HL20251005A_957.49C_160444.bmp","Trajectories/2025-10-05/HL20251005A_1015.13C_161744.bmp","HL20251005A_1015.13C_161744.bmp","Twinned(2 x 1)","tie","AJ","","2026-04-03T21:57:26.599123"
"Trajectories/2022-04-11/124_RR220411A_575C_1557.bmp","124_RR220411A_575C_1557.bmp","Trajectories/2025-10-04/A/HL20251004A_1015.72C_134942.bmp","HL20251004A_1015.72C_134942.bmp","HTR","not_apply","AJ","","2026-04-03T21:55:48.386725"
"Trajectories/2022-04-11/124_RR220411A_575C_1557.bmp","124_RR220411A_575C_1557.bmp","Trajectories/2025-10-04/A/HL20251004A_1015.72C_134942.bmp","HL20251004A_1015.72C_134942.bmp","(√13 x √13)","not_apply","AJ","","2026-04-03T21:55:47.641716"
"Trajectories/2022-04-11/124_RR220411A_575C_1557.bmp","124_RR220411A_575C_1557.bmp","Trajectories/2025-10-04/A/HL20251004A_1015.72C_134942.bmp","HL20251004A_1015.72C_134942.bmp","Twinned(2 x 1)","2","AJ","","2026-04-03T21:55:46.868936"
"Trajectories/2022-04-11/124_RR220411A_575C_1557.bmp","124_RR220411A_575C_1557.bmp","Trajectories/2025-10-04/A/HL20251004A_1015.72C_134942.bmp","HL20251004A_1015.72C_134942.bmp","(1 x 1)","tie","AJ","","2026-04-03T21:55:44.905333"
"Trajectories/2022-04-11/124_RR220411A_575C_1557.bmp","124_RR220411A_575C_1557.bmp","Trajectories/2025-10-04/A/HL20251004A_1015.72C_134942.bmp","HL20251004A_1015.72C_134942.bmp","c(6 x 2)","not_apply","AJ","","2026-04-03T21:55:44.190186"
"Trajectories/2025-10-04/A/HL20251004A_600.06C_125031.bmp","HL20251004A_600.06C_125031.bmp","Trajectories/2022-02-06/171_RR220206A_1085C_2027.bmp","171_RR220206A_1085C_2027.bmp","Twinned(2 x 1)","1","AJ","","2026-04-03T21:54:52.173617"
"Trajectories/2025-10-04/A/HL20251004A_600.06C_125031.bmp","HL20251004A_600.06C_125031.bmp","Trajectories/2022-02-06/171_RR220206A_1085C_2027.bmp","171_RR220206A_1085C_2027.bmp","(√13 x √13)","not_apply","AJ","","2026-04-03T21:54:51.384838"
"Trajectories/2025-10-04/A/HL20251004A_600.06C_125031.bmp","HL20251004A_600.06C_125031.bmp","Trajectories/2022-02-06/171_RR220206A_1085C_2027.bmp","171_RR220206A_1085C_2027.bmp","c(6 x 2)","not_apply","AJ","","2026-04-03T21:54:50.638620"
"Trajectories/2025-10-04/A/HL20251004A_600.06C_125031.bmp","HL20251004A_600.06C_125031.bmp","Trajectories/2022-02-06/171_RR220206A_1085C_2027.bmp","171_RR220206A_1085C_2027.bmp","HTR","2","AJ","","2026-04-03T21:54:48.496840"
"Trajectories/2025-10-04/A/HL20251004A_600.06C_125031.bmp","HL20251004A_600.06C_125031.bmp","Trajectories/2022-02-06/171_RR220206A_1085C_2027.bmp","171_RR220206A_1085C_2027.bmp","(1 x 1)","1","AJ","","2026-04-03T21:54:47.671676"
"Trajectories/2025-10-04/A/HL20251004A_599.68C_130612.bmp","HL20251004A_599.68C_130612.bmp","Trajectories/2025-10-05/HL20251005A_646.93C_155423.bmp","HL20251005A_646.93C_155423.bmp","HTR","not_apply","AJ","","2026-04-03T21:54:25.645328"
