IMAGE 1,IMAGE 2,RECONSTRUCTION,WINNER,LABELER,NOTES
147_RR220411A_671C_1617.bmp,184_RR220204A_576C_1826.bmp,(1 x 1),Image 2,SY,-
147_RR220411A_671C_1617.bmp,184_RR220204A_576C_1826.bmp,c(6 x 2),Not Apply,SY,-
147_RR220411A_671C_1617.bmp,184_RR220204A_576C_1826.bmp,HTR,Not Apply,SY,-
147_RR220411A_671C_1617.bmp,184_RR220204A_576C_1826.bmp,Twinned(2 x 1),Image 2,SY,-
147_RR220411A_671C_1617.bmp,184_RR220204A_576C_1826.bmp,(√13 x √13),Image 2,SY,-
147_RR220411A_671C_1617.bmp,184_RR220204A_576C_1826.bmp,Other,Not Apply,SY,-
055_RR220206A_239C_1742.bmp,409_RR220411A_474C_1953.bmp,(1 x 1),Image 2,SY,-
055_RR220206A_239C_1742.bmp,409_RR220411A_474C_1953.bmp,(√13 x √13),Image 2,SY,-
055_RR220206A_239C_1742.bmp,409_RR220411A_474C_1953.bmp,HTR,Not Apply,SY,-
055_RR220206A_239C_1742.bmp,409_RR220411A_474C_1953.bmp,c(6 x 2),Image 2,SY,-
055_RR220206A_239C_1742.bmp,409_RR220411A_474C_1953.bmp,Twinned(2 x 1),Not Apply,SY,-
055_RR220206A_239C_1742.bmp,409_RR220411A_474C_1953.bmp,Other,Not Apply,SY,-
069_RR220204A_293C_1706.bmp,147_RR220206A_1024C_1953.bmp,(1 x 1),Image 1,SY,-
069_RR220204A_293C_1706.bmp,147_RR220206A_1024C_1953.bmp,(√13 x √13),Image 1,SY,-
069_RR220204A_293C_1706.bmp,147_RR220206A_1024C_1953.bmp,c(6 x 2),Image 2,SY,-
069_RR220204A_293C_1706.bmp,147_RR220206A_1024C_1953.bmp,Other,Not Apply,SY,-
069_RR220204A_293C_1706.bmp,147_RR220206A_1024C_1953.bmp,Twinned(2 x 1),Image 1,SY,-
069_RR220204A_293C_1706.bmp,147_RR220206A_1024C_1953.bmp,HTR,Image 2,SY,-
261_RR220204A_790C_1930.bmp,024_RR220204A_927C_0130.bmp,HTR,Not Apply,SY,-
261_RR220204A_790C_1930.bmp,024_RR220204A_927C_0130.bmp,Twinned(2 x 1),Tie,SY,-
261_RR220204A_790C_1930.bmp,024_RR220204A_927C_0130.bmp,c(6 x 2),Not Apply,SY,-
261_RR220204A_790C_1930.bmp,024_RR220204A_927C_0130.bmp,Other,Not Apply,SY,-
261_RR220204A_790C_1930.bmp,024_RR220204A_927C_0130.bmp,(1 x 1),Image 2,SY,-
320_RR220204A_915C_2039.bmp,195_RR220204A_611C_1832.bmp,(1 x 1),Tie,SY,-
320_RR220204A_915C_2039.bmp,195_RR220204A_611C_1832.bmp,(√13 x √13),Image 1,SY,-
320_RR220204A_915C_2039.bmp,195_RR220204A_611C_1832.bmp,Other,Not Apply,SY,-
320_RR220204A_915C_2039.bmp,195_RR220204A_611C_1832.bmp,Twinned(2 x 1),Tie,SY,-
320_RR220204A_915C_2039.bmp,195_RR220204A_611C_1832.bmp,HTR,Not Apply,SY,-
320_RR220204A_915C_2039.bmp,195_RR220204A_611C_1832.bmp,c(6 x 2),Not Apply,SY,-
129_RR220204A_465C_1753.bmp,243_RR220411A_909C_1739.bmp,c(6 x 2),Image 2,SY,-
129_RR220204A_465C_1753.bmp,243_RR220411A_909C_1739.bmp,HTR,Not Apply,SY,-
129_RR220204A_465C_1753.bmp,243_RR220411A_909C_1739.bmp,(1 x 1),Tie,SY,-
129_RR220204A_465C_1753.bmp,243_RR220411A_909C_1739.bmp,Twinned(2 x 1),Image 1,SY,-
129_RR220204A_465C_1753.bmp,243_RR220411A_909C_1739.bmp,Other,Not Apply,SY,-
129_RR220204A_465C_1753.bmp,243_RR220411A_909C_1739.bmp,(√13 x √13),Image 1,SY,-
313_RR220411A_839C_1856.bmp,125_RR220206A_887C_1925.bmp,c(6 x 2),Image 2,SY,-
313_RR220411A_839C_1856.bmp,125_RR220206A_887C_1925.bmp,HTR,Not Apply,SY,-
313_RR220411A_839C_1856.bmp,125_RR220206A_887C_1925.bmp,Other,Not Apply,SY,-
313_RR220411A_839C_1856.bmp,125_RR220206A_887C_1925.bmp,Twinned(2 x 1),Not Apply,SY,-
